,day,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2026-01-05,146,36,4.056,46.6,2752.5,4213.9,0.0,876.5997046998538,Histórico
1,2026-01-06,141,35,4.029,47.2,2678.7,4071.3,0.0,852.0187166472697,Histórico
2,2026-01-07,139,37,3.757,45.5,2166.6,3698.1,0.0,879.9152486097627,Histórico
3,2026-01-08,143,37,3.865,43.7,2343.5,3935.7,0.0,857.9943214639384,Histórico
4,2026-01-09,149,37,4.027,47.3,2418.3,3886.9,0.0,1019.6752184526621,Histórico
5,2026-01-10,142,37,3.838,42.6,2408.0,4012.9,0.0,815.9494538533911,Histórico
6,2026-01-11,136,36,3.778,44.0,2397.0,4012.6,0.0,922.2766883477339,Histórico
0,2026-01-05,146,30,4.867,55.9,2810.8,3666.8,0.0,747.5941378945031,Offline
1,2026-01-06,143,31,4.613,54.2,2615.9,3548.4,0.0,700.999000834352,Offline
2,2026-01-07,148,34,4.353,52.5,2264.7,2969.5,0.0,647.6310629916537,Offline
3,2026-01-08,143,33,4.333,49.0,2360.3,3306.6,0.0,650.9964828054912,Offline
4,2026-01-09,153,37,4.135,48.5,2591.8,3515.0,0.0,852.288836657192,Offline
5,2026-01-10,142,32,4.438,49.2,2400.1,3241.8,0.0,591.5831944036353,Offline
6,2026-01-11,139,33,4.212,49.3,2536.7,3363.0,0.0,711.6460853560519,Offline
