city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,150,38,400.8,150.54,150,49.5
149,2026-01-05,0.3,350,38,404.8,146.98,350,49.5
149,2026-01-05,0.3,550,38,395.6,134.89,550,49.5
149,2026-01-05,0.3,750,38,395.6,134.89,750,49.5
149,2026-01-05,0.3,150,39,326.3,137.82,150,48.2
149,2026-01-05,0.3,350,39,326.3,137.82,350,48.2
149,2026-01-05,0.3,550,39,326.3,137.82,550,48.2
149,2026-01-05,0.3,750,39,326.3,137.82,750,48.2
149,2026-01-05,0.3,150,37,154.4,127.54,150,46.6
149,2026-01-05,0.3,350,37,177.5,122.77,350,46.6
149,2026-01-05,0.3,550,37,161.1,121.68,550,46.6
149,2026-01-05,0.3,750,37,161.1,121.68,750,46.6
149,2026-01-05,0.3,150,37,147.8,134.11,150,46.4
149,2026-01-05,0.3,350,37,116.9,126.46,350,46.4
149,2026-01-05,0.3,550,37,137.2,121.03,550,46.4
149,2026-01-05,0.3,750,37,137.2,121.03,750,46.4
149,2026-01-05,0.3,150,36,80.7,121.51,150,45.9
149,2026-01-05,0.3,350,36,80.7,121.51,350,45.9
149,2026-01-05,0.3,550,36,80.7,121.51,550,45.9
149,2026-01-05,0.3,750,36,77.4,110.96,750,45.9
149,2026-01-05,0.3,150,36,61.3,126.57,150,45.1
149,2026-01-05,0.3,350,36,62.9,122.22,350,45.1
149,2026-01-05,0.3,550,36,79.4,119.51,550,45.1
149,2026-01-05,0.3,750,36,58.0,117.46,750,45.1
149,2026-01-05,0.3,150,37,79.4,121.46,150,46.2
149,2026-01-05,0.3,350,37,79.4,121.46,350,46.2
149,2026-01-05,0.3,550,37,79.4,121.46,550,46.2
149,2026-01-05,0.3,750,37,79.4,121.46,750,46.2
149,2026-01-05,0.3,150,38,58.0,122.7,150,46.7
149,2026-01-05,0.3,350,38,62.9,120.96,350,46.7
149,2026-01-05,0.3,550,38,71.4,119.04,550,46.7
149,2026-01-05,0.3,750,38,71.4,119.04,750,46.7
149,2026-01-05,0.3,150,35,113.9,109.53,150,44.9
149,2026-01-05,0.3,350,35,113.9,109.53,350,44.9
149,2026-01-05,0.3,550,35,67.5,106.24,550,44.9
149,2026-01-05,0.3,750,35,67.5,106.24,750,44.9
149,2026-01-05,0.3,150,32,82.3,99.18,150,42.7
149,2026-01-05,0.3,350,32,82.3,90.42,350,42.7
149,2026-01-05,0.3,550,32,64.1,89.17,550,42.7
149,2026-01-05,0.3,750,32,64.1,89.17,750,42.7
149,2026-01-05,0.3,150,33,103.8,100.5,150,43.5
149,2026-01-05,0.3,350,33,103.8,100.5,350,43.5
149,2026-01-05,0.3,550,33,103.8,100.5,550,43.5
149,2026-01-05,0.3,750,33,120.1,94.33,750,43.5
149,2026-01-05,0.3,150,34,96.5,108.01,150,43.1
149,2026-01-05,0.3,350,34,77.5,107.31,350,43.1
149,2026-01-05,0.3,550,34,77.5,107.31,550,43.1
149,2026-01-05,0.3,750,34,77.5,107.31,750,43.1
149,2026-01-05,0.3,150,30,61.3,96.3,150,41.0
149,2026-01-05,0.3,350,30,82.3,94.96,350,41.0
149,2026-01-05,0.3,550,30,79.4,85.01,550,41.0
