city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,150,37,202.6,133.32,150,49.2
149,2026-01-05,0.3,350,37,252.5,126.72,350,49.2
149,2026-01-05,0.3,550,37,230.0,119.53,550,49.2
149,2026-01-05,0.3,750,37,230.0,119.53,750,49.2
149,2026-01-05,0.3,150,35,79.1,118.93,150,42.6
149,2026-01-05,0.3,350,35,58.2,116.21,350,42.6
149,2026-01-05,0.3,550,35,58.2,116.21,550,42.6
149,2026-01-05,0.3,750,35,81.0,115.76,750,42.6
149,2026-01-05,0.3,150,37,58.0,128.47,150,48.3
149,2026-01-05,0.3,350,37,58.0,128.47,350,48.3
149,2026-01-05,0.3,550,37,76.1,121.44,550,48.3
149,2026-01-05,0.3,750,37,76.1,121.44,750,48.3
149,2026-01-05,0.3,150,33,110.4,109.7,150,42.9
149,2026-01-05,0.3,350,33,73.9,94.52,350,42.9
149,2026-01-05,0.3,550,33,73.9,94.52,550,42.9
149,2026-01-05,0.3,750,33,73.9,94.52,750,42.9
149,2026-01-05,0.3,150,30,60.0,94.05,150,64.6
149,2026-01-05,0.3,350,30,80.0,91.35,350,64.6
149,2026-01-05,0.3,550,30,80.0,91.35,550,64.6
149,2026-01-05,0.3,750,30,82.7,87.47,750,64.6
149,2026-01-05,0.3,150,27,107.7,85.57,150,62.5
149,2026-01-05,0.3,350,27,107.7,85.57,350,62.5
149,2026-01-05,0.3,550,27,111.0,83.98,550,62.5
149,2026-01-05,0.3,750,27,95.9,79.57,750,62.5
149,2026-01-05,0.3,150,22,72.3,73.89,150,47.2
149,2026-01-05,0.3,350,22,122.1,69.35,350,47.2
149,2026-01-05,0.3,550,22,79.8,69.14,550,47.2
149,2026-01-05,0.3,750,22,79.8,69.14,750,47.2
149,2026-01-05,0.3,150,21,85.3,63.53,150,46.6
149,2026-01-05,0.3,350,21,100.4,59.53,350,46.6
149,2026-01-05,0.3,550,21,100.4,59.53,550,46.6
149,2026-01-05,0.3,750,21,100.4,59.53,750,46.6
149,2026-01-05,0.3,150,13,109.6,32.21,150,32.3
149,2026-01-05,0.3,350,13,78.3,24.38,350,32.3
149,2026-01-05,0.3,550,13,78.3,24.38,550,32.3
149,2026-01-05,0.3,750,13,78.3,24.38,750,32.3
149,2026-01-05,0.3,150,9,149.2,22.06,150,19.7
149,2026-01-05,0.3,350,9,190.6,19.82,350,19.7
149,2026-01-05,0.3,550,9,190.6,16.29,550,19.7
149,2026-01-05,0.3,750,9,190.6,16.29,750,19.7
149,2026-01-05,0.3,150,8,201.3,16.65,150,23.4
149,2026-01-05,0.3,350,8,201.3,16.65,350,23.4
149,2026-01-05,0.3,550,8,201.3,16.65,550,23.4
149,2026-01-05,0.3,750,8,201.3,16.65,750,23.4
149,2026-01-05,0.3,150,7,251.7,15.59,150,23.7
149,2026-01-05,0.3,350,7,251.7,15.59,350,23.7
149,2026-01-05,0.3,550,7,251.7,15.59,550,23.7
149,2026-01-05,0.3,750,7,251.7,15.59,750,23.7
1,2026-01-05,0.3,100,11,0.0,40.34,100,16.7
1,2026-01-05,0.3,233,11,0.0,40.34,233,16.7
1,2026-01-05,0.3,366,11,0.0,39.63,366,16.7
1,2026-01-05,0.3,500,11,0.0,39.63,500,16.7
1,2026-01-05,0.3,100,11,0.0,40.72,100,16.8
1,2026-01-05,0.3,233,11,0.0,39.98,233,16.8
1,2026-01-05,0.3,366,11,0.0,39.98,366,16.8
1,2026-01-05,0.3,500,11,0.0,39.16,500,16.8
1,2026-01-05,0.3,100,11,0.0,21.98,100,17.9
1,2026-01-05,0.3,233,11,0.0,20.71,233,17.9
