city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,150,36,155.9,173.09,150,211.9
149,2026-01-05,0.3,350,36,155.9,173.09,350,211.9
149,2026-01-05,0.3,550,36,155.9,173.09,550,211.9
149,2026-01-05,0.3,750,36,152.5,158.12,750,211.9
149,2026-01-05,0.3,150,36,90.7,163.08,150,208.5
149,2026-01-05,0.3,350,36,90.7,163.08,350,208.5
149,2026-01-05,0.3,550,36,90.7,163.08,550,208.5
149,2026-01-05,0.3,750,36,90.7,163.08,750,208.5
149,2026-01-05,0.3,150,37,124.9,157.64,150,176.6
149,2026-01-05,0.3,350,37,124.9,157.64,350,176.6
149,2026-01-05,0.3,550,37,124.9,157.64,550,176.6
149,2026-01-05,0.3,750,37,124.9,157.64,750,176.6
149,2026-01-05,0.3,150,34,66.5,143.44,150,163.1
149,2026-01-05,0.3,350,34,66.5,143.44,350,163.1
149,2026-01-05,0.3,550,34,66.5,143.44,550,163.1
149,2026-01-05,0.3,750,34,111.1,140.78,750,163.1
149,2026-01-05,0.3,150,31,101.0,127.0,150,157.7
149,2026-01-05,0.3,350,31,101.0,127.0,350,157.7
149,2026-01-05,0.3,550,31,119.8,119.69,550,157.7
149,2026-01-05,0.3,750,31,119.8,119.69,750,157.7
149,2026-01-05,0.3,150,29,119.8,130.82,150,153.8
149,2026-01-05,0.3,350,29,115.5,124.88,350,153.8
149,2026-01-05,0.3,550,29,119.8,119.0,550,153.8
149,2026-01-05,0.3,750,29,119.8,119.0,750,153.8
149,2026-01-05,0.3,150,23,119.8,90.78,150,128.5
149,2026-01-05,0.3,350,23,119.8,90.78,350,128.5
149,2026-01-05,0.3,550,23,119.8,90.78,550,128.5
149,2026-01-05,0.3,750,23,119.8,90.78,750,128.5
149,2026-01-05,0.3,150,22,103.7,93.76,150,124.5
149,2026-01-05,0.3,350,22,138.8,81.35,350,124.5
149,2026-01-05,0.3,550,22,138.8,81.35,550,124.5
149,2026-01-05,0.3,750,22,138.8,81.35,750,124.5
149,2026-01-05,0.3,150,14,121.1,45.29,150,74.9
149,2026-01-05,0.3,350,14,121.1,45.29,350,74.9
149,2026-01-05,0.3,550,14,121.1,45.29,550,74.9
149,2026-01-05,0.3,750,14,121.1,45.29,750,74.9
149,2026-01-05,0.3,150,10,228.7,34.31,150,58.2
149,2026-01-05,0.3,350,10,181.7,30.84,350,58.2
149,2026-01-05,0.3,550,10,181.7,30.84,550,58.2
149,2026-01-05,0.3,750,10,213.9,30.42,750,58.2
149,2026-01-05,0.3,150,9,229.3,35.37,150,43.4
149,2026-01-05,0.3,350,9,232.5,26.23,350,43.4
