city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2025-07-21,1,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,1,141,25.42,25.5
149,2025-07-21,2,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,1,139,30.0,26.6
149,2025-07-21,3,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,1,719,36.8,25.7
149,2025-07-21,4,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,1,280,43.14,26.0
149,2025-07-21,5,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,1,363,46.47,26.7
149,2025-07-21,6,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,1,74,50.08,27.6
149,2025-07-21,7,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,1,384,50.69,28.5
149,2025-07-21,8,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,1,581,53.28,27.2
149,2025-07-21,9,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,1,532,57.65,28.5
149,2025-07-21,10,2025-07-21 09:53:03.750000-05:00,2025-07-21 09:53:03.750000-05:00,2025-07-21 09:53:03.750000-05:00,1,51,50.73,28.1
149,2025-07-21,11,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,1,627,59.74,28.3
149,2025-07-21,12,2025-07-21 10:29:54.421000-05:00,2025-07-21 10:29:54.421000-05:00,2025-07-21 10:29:54.421000-05:00,1,600,53.39,27.6
149,2025-07-21,13,2025-07-21 10:33:42.874000-05:00,2025-07-21 10:33:42.874000-05:00,2025-07-21 10:33:42.874000-05:00,1,40,57.8,27.6
149,2025-07-21,14,2025-07-21 11:01:22.509000-05:00,2025-07-21 11:01:22.509000-05:00,2025-07-21 11:01:22.509000-05:00,1,40,62.52,28.6
149,2025-07-21,15,2025-07-21 11:12:13-05:00,2025-07-21 11:12:13-05:00,2025-07-21 11:12:13-05:00,1,82,54.19,28.3
149,2025-07-21,16,2025-07-21 11:16:01.834000-05:00,2025-07-21 11:16:01.834000-05:00,2025-07-21 11:16:01.834000-05:00,1,184,56.16,29.6
149,2025-07-21,17,2025-07-21 11:57:14.552000-05:00,2025-07-21 11:57:14.552000-05:00,2025-07-21 11:57:14.552000-05:00,1,747,68.03,28.4
149,2025-07-21,18,2025-07-21 12:09:26.822000-05:00,2025-07-21 12:09:26.822000-05:00,2025-07-21 12:09:26.822000-05:00,1,515,61.93,27.6
