city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2025-07-21,1,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,2025-07-21 08:23:49.711000-05:00,1,560,46.09,31.2
149,2025-07-21,2,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,2025-07-21 08:27:17.402000-05:00,1,322,54.85,30.5
149,2025-07-21,3,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,2025-07-21 08:33:55.759000-05:00,1,4,63.34,30.4
149,2025-07-21,4,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,2025-07-21 08:56:43.108000-05:00,1,395,74.6,31.3
149,2025-07-21,5,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,2025-07-21 08:57:04.025000-05:00,1,602,66.38,31.4
149,2025-07-21,6,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,2025-07-21 08:57:51.903000-05:00,1,577,79.03,32.4
149,2025-07-21,7,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,2025-07-21 09:06:46.547000-05:00,1,127,79.37,32.4
149,2025-07-21,8,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,2025-07-21 09:24:41.467000-05:00,1,382,80.09,32.0
149,2025-07-21,9,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,2025-07-21 09:28:29.562000-05:00,1,298,85.53,32.4
149,2025-07-21,10,2025-07-21 09:53:03.750000-05:00,2025-07-21 09:53:03.750000-05:00,2025-07-21 09:53:03.750000-05:00,1,234,70.58,32.0
149,2025-07-21,11,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,2025-07-21 10:14:47.484000-05:00,1,731,78.68,32.2
