city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2025-07-21,0.3,150,12,25.7,55.56,150,31.8
149,2025-07-21,0.3,350,12,25.7,54.85,350,31.8
149,2025-07-21,0.3,550,12,25.7,54.85,550,31.8
149,2025-07-21,0.3,750,12,25.7,54.85,750,31.8
149,2025-07-21,0.3,150,15,0.0,73.38,150,32.7
149,2025-07-21,0.3,350,15,0.0,73.38,350,32.7
149,2025-07-21,0.3,550,15,0.0,73.38,550,32.7
149,2025-07-21,0.3,750,15,0.0,72.39,750,32.7
149,2025-07-21,0.3,150,16,0.0,99.46,150,33.2
149,2025-07-21,0.3,350,16,0.0,94.39,350,33.2
149,2025-07-21,0.3,550,16,0.0,90.66,550,33.2
149,2025-07-21,0.3,750,16,0.0,89.17,750,33.2
149,2025-07-21,0.3,150,16,0.0,95.65,150,40.6
149,2025-07-21,0.3,350,16,0.0,94.39,350,40.6
149,2025-07-21,0.3,550,16,0.0,93.26,550,40.6
149,2025-07-21,0.3,750,16,0.0,93.26,750,40.6
149,2025-07-21,0.3,150,15,34.9,97.83,150,38.5
149,2025-07-21,0.3,350,15,34.9,97.6,350,38.5
149,2025-07-21,0.3,550,15,34.9,88.12,550,38.5
149,2025-07-21,0.3,750,15,34.9,88.12,750,38.5
149,2025-07-21,0.3,150,13,34.9,72.24,150,49.7
149,2025-07-21,0.3,350,13,34.9,72.24,350,49.7
149,2025-07-21,0.3,550,13,34.9,69.77,550,49.8
149,2025-07-21,0.3,750,13,34.9,69.77,750,49.8
149,2025-07-21,0.3,150,15,34.9,78.63,150,61.2
149,2025-07-21,0.3,350,15,34.9,78.63,350,61.2
149,2025-07-21,0.3,550,15,34.9,78.63,550,61.2
149,2025-07-21,0.3,750,15,34.9,78.63,750,61.2
149,2025-07-21,0.3,150,14,34.9,77.46,150,61.9
149,2025-07-21,0.3,350,14,34.9,77.46,350,61.9
149,2025-07-21,0.3,550,14,34.9,70.24,550,61.9
149,2025-07-21,0.3,750,14,34.9,70.24,750,61.9
149,2025-07-21,0.3,150,13,34.9,65.13,150,61.6
149,2025-07-21,0.3,350,13,34.9,65.13,350,61.6
149,2025-07-21,0.3,550,13,34.9,63.56,550,61.6
149,2025-07-21,0.3,750,13,34.9,63.56,750,61.6
149,2025-07-21,0.3,150,7,34.9,33.04,150,47.7
149,2025-07-21,0.3,350,7,34.9,31.64,350,47.7
149,2025-07-21,0.3,550,7,78.2,29.27,550,47.7
149,2025-07-21,0.3,750,7,34.9,28.12,750,47.7
149,2025-07-21,0.3,150,1,59.1,2.01,150,35.9
149,2025-07-21,0.3,350,1,59.1,2.01,350,35.9
149,2025-07-21,0.3,550,1,59.1,2.01,550,35.9
149,2025-07-21,0.3,750,1,59.1,2.01,750,35.9
1,2025-07-21,0.3,100,12,20.0,50.62,100,31.5
1,2025-07-21,0.3,233,12,20.0,47.86,233,31.5
1,2025-07-21,0.3,366,12,20.0,47.86,366,31.5
1,2025-07-21,0.3,500,12,20.0,47.86,500,31.5
1,2025-07-21,0.3,100,8,20.6,41.7,100,30.3
1,2025-07-21,0.3,233,8,20.6,41.7,233,30.3
1,2025-07-21,0.3,366,8,20.6,41.7,366,30.3
1,2025-07-21,0.3,500,8,20.6,41.7,500,30.3
150,2025-07-21,0.3,10,1,0.0,6.97,10,5.8
150,2025-07-21,0.3,23,1,0.0,6.97,23,5.8
150,2025-07-21,0.3,36,1,0.0,6.97,36,5.8
150,2025-07-21,0.3,50,1,0.0,6.97,50,5.8
844,2025-07-21,0.3,10,1,0.0,11.15,10,5.0
844,2025-07-21,0.3,23,1,0.0,11.15,23,5.0
844,2025-07-21,0.3,36,1,0.0,11.15,36,5.0
844,2025-07-21,0.3,50,1,0.0,11.15,50,5.0
1004,2025-07-21,0.3,100,11,88.5,75.0,100,20.0
1004,2025-07-21,0.3,233,11,88.5,75.0,233,20.0
1004,2025-07-21,0.3,366,11,88.5,75.0,366,20.0
1004,2025-07-21,0.3,500,11,88.5,75.0,500,20.0
1004,2025-07-21,0.3,100,10,6.1,75.85,100,29.2
1004,2025-07-21,0.3,233,10,6.1,75.85,233,29.2
1004,2025-07-21,0.3,366,10,6.1,75.85,366,29.2
1004,2025-07-21,0.3,500,10,6.1,75.85,500,29.2
1004,2025-07-21,0.3,100,7,6.1,24.58,100,28.8
1004,2025-07-21,0.3,233,7,6.1,24.58,233,28.8
1004,2025-07-21,0.3,366,7,6.1,24.58,366,28.8
1004,2025-07-21,0.3,500,7,6.1,24.58,500,28.8
1004,2025-07-21,0.3,100,5,6.1,24.91,100,26.5
1004,2025-07-21,0.3,233,5,6.1,24.91,233,26.5
1004,2025-07-21,0.3,366,5,6.1,24.91,366,26.5
1004,2025-07-21,0.3,500,5,6.1,24.91,500,26.5
1004,2025-07-21,0.3,100,5,6.1,36.38,100,24.3
1004,2025-07-21,0.3,233,5,6.1,36.38,233,24.3
1004,2025-07-21,0.3,366,5,6.1,36.38,366,24.4
1004,2025-07-21,0.3,500,5,6.1,36.38,500,24.4
1004,2025-07-21,0.3,100,2,19.8,27.42,100,17.4
1004,2025-07-21,0.3,233,2,19.8,27.42,233,17.4
1004,2025-07-21,0.3,366,2,19.8,27.42,366,17.4
1004,2025-07-21,0.3,500,2,19.8,27.42,500,17.4
149,2025-07-22,0.3,150,27,81.7,187.79,150,68.5
149,2025-07-22,0.3,350,27,80.8,181.21,350,68.5
149,2025-07-22,0.3,550,27,80.8,172.12,550,68.5
149,2025-07-22,0.3,750,27,80.8,172.12,750,68.5
149,2025-07-22,0.3,150,26,64.8,176.82,150,66.6
149,2025-07-22,0.3,350,26,73.5,163.69,350,66.6
149,2025-07-22,0.3,550,26,73.5,163.69,550,66.6
149,2025-07-22,0.3,750,26,73.5,163.69,750,66.6
149,2025-07-22,0.3,150,27,104.6,178.77,150,65.9
149,2025-07-22,0.3,350,27,104.6,164.64,350,65.9
149,2025-07-22,0.3,550,27,104.6,164.64,550,65.9
149,2025-07-22,0.3,750,27,104.6,164.64,750,65.9
149,2025-07-22,0.3,150,21,60.2,133.76,150,66.6
149,2025-07-22,0.3,350,21,60.2,129.88,350,66.6
149,2025-07-22,0.3,550,21,60.2,129.88,550,66.6
149,2025-07-22,0.3,750,21,60.2,129.88,750,66.6
149,2025-07-22,0.3,150,16,74.7,102.26,150,87.6
149,2025-07-22,0.3,350,16,74.7,102.26,350,87.6
149,2025-07-22,0.3,550,16,74.7,102.26,550,87.6
