city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0
149,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0
149,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0
149,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0
149,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,3,207.0,54.32,31.6
149,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,2,207.0,63.53,32.5
149,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0
149,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,2,122.0,79.27,33.1
149,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,1,351.0,86.81,32.7
149,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,1,91.0,78.81,49.7
149,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,1,224.0,61.96,57.3
149,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,1,278.0,40.36,57.7
149,2025-07-21,13,2025-07-21 12:30:00-05:00,2025-07-21 13:00:00-05:00,2025-07-21 13:00:00-05:00,0,,,0.0
149,2025-07-21,14,2025-07-21 13:00:00-05:00,2025-07-21 13:30:00-05:00,2025-07-21 13:30:00-05:00,0,,,0.0
149,2025-07-21,15,2025-07-21 13:30:00-05:00,2025-07-21 14:00:00-05:00,2025-07-21 14:00:00-05:00,0,,,0.0
149,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,2,297.0,21.6,47.4
1,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0
1,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0
1,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0
1,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0
1,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,2,452.0,47.4,31.9
1,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0
1,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0
1,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,0,,,0.0
1,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,1,5.0,40.05,31.2
1004,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,1,40.0,75.0,22.1
1004,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0
1004,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0
1004,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0
1004,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,0,,,0.0
1004,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0
1004,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0
1004,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,0,,,0.0
1004,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,0,,,0.0
1004,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,0,,,0.0
1004,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,0,,,0.0
1004,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,1,1.0,2.92,27.8
149,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0
149,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0
149,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,1,138.0,178.25,71.1
149,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,1,309.0,171.09,71.0
149,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,2,430.0,156.36,75.5
149,2025-07-22,6,2025-07-22 09:00:00-05:00,2025-07-22 09:30:00-05:00,2025-07-22 09:30:00-05:00,0,,,0.0
149,2025-07-22,7,2025-07-22 09:30:00-05:00,2025-07-22 10:00:00-05:00,2025-07-22 10:00:00-05:00,2,508.0,112.83,65.2
149,2025-07-22,8,2025-07-22 10:00:00-05:00,2025-07-22 10:30:00-05:00,2025-07-22 10:30:00-05:00,0,,,0.0
149,2025-07-22,9,2025-07-22 10:30:00-05:00,2025-07-22 11:00:00-05:00,2025-07-22 11:00:00-05:00,2,4.0,89.0,92.4
149,2025-07-22,10,2025-07-22 11:00:00-05:00,2025-07-22 11:30:00-05:00,2025-07-22 11:30:00-05:00,3,553.0,99.98,95.8
149,2025-07-22,11,2025-07-22 11:30:00-05:00,2025-07-22 12:00:00-05:00,2025-07-22 12:00:00-05:00,2,457.0,93.9,100.6
149,2025-07-22,12,2025-07-22 12:00:00-05:00,2025-07-22 12:30:00-05:00,2025-07-22 12:30:00-05:00,1,326.0,90.92,87.4
149,2025-07-22,13,2025-07-22 12:30:00-05:00,2025-07-22 13:00:00-05:00,2025-07-22 13:00:00-05:00,0,,,0.0
149,2025-07-22,14,2025-07-22 13:00:00-05:00,2025-07-22 13:30:00-05:00,2025-07-22 13:30:00-05:00,0,,,0.0
149,2025-07-22,15,2025-07-22 13:30:00-05:00,2025-07-22 14:00:00-05:00,2025-07-22 14:00:00-05:00,0,,,0.0
149,2025-07-22,16,2025-07-22 14:00:00-05:00,2025-07-22 14:30:00-05:00,2025-07-22 14:30:00-05:00,1,302.0,51.47,61.5
1004,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0
1004,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0
1004,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,0,,,0.0
1004,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,0,,,0.0
1004,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,1,453.0,43.07,21.6
149,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0
149,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0
149,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0
149,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,2,223.0,95.55,64.5
149,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,2,559.0,106.71,63.5
149,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,1,266.0,105.14,61.7
149,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0
149,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0
149,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0
149,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,2,470.0,50.37,56.6
149,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,1,640.0,39.0,44.7
149,2025-07-23,12,2025-07-23 12:00:00-05:00,2025-07-23 12:30:00-05:00,2025-07-23 12:30:00-05:00,1,716.0,38.17,43.7
149,2025-07-23,13,2025-07-23 12:30:00-05:00,2025-07-23 13:00:00-05:00,2025-07-23 13:00:00-05:00,1,618.0,40.51,40.9
149,2025-07-23,14,2025-07-23 13:00:00-05:00,2025-07-23 13:30:00-05:00,2025-07-23 13:30:00-05:00,0,,,0.0
149,2025-07-23,15,2025-07-23 13:30:00-05:00,2025-07-23 14:00:00-05:00,2025-07-23 14:00:00-05:00,1,410.0,22.3,41.2
1,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0
1,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0
1,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0
1,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,1,223.0,22.22,19.1
1,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,2,249.0,19.49,19.5
1,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,1,14.0,23.59,19.3
1,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0
1,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0
1,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,3,186.0,37.74,19.5
1,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,0,,,0.0
1,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,0,,,0.0
1,2025-07-23,12,2025-07-23 12:00:00-05:00,2025-07-23 12:30:00-05:00,2025-07-23 12:30:00-05:00,0,,,0.0
1,2025-07-23,13,2025-07-23 12:30:00-05:00,2025-07-23 13:00:00-05:00,2025-07-23 13:00:00-05:00,1,12.0,35.14,20.0
1004,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0
1004,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0
1004,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0
1004,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,0,,,0.0
1004,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,0,,,0.0
1004,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,1,360.0,45.85,37.1
1004,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0
1004,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0
1004,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0
1004,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,0,,,0.0
1004,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,1,280.0,20.83,26.7
149,2025-07-24,1,2025-07-24 00:00:00-05:00,2025-07-24 07:00:00-05:00,2025-07-24 07:00:00-05:00,0,,,0.0
149,2025-07-24,2,2025-07-24 07:00:00-05:00,2025-07-24 07:30:00-05:00,2025-07-24 07:30:00-05:00,0,,,0.0
149,2025-07-24,3,2025-07-24 07:30:00-05:00,2025-07-24 08:00:00-05:00,2025-07-24 08:00:00-05:00,1,101.0,120.56,96.0
149,2025-07-24,4,2025-07-24 08:00:00-05:00,2025-07-24 08:30:00-05:00,2025-07-24 08:30:00-05:00,1,367.0,99.36,108.1
149,2025-07-24,5,2025-07-24 08:30:00-05:00,2025-07-24 09:00:00-05:00,2025-07-24 09:00:00-05:00,0,,,0.0
149,2025-07-24,6,2025-07-24 09:00:00-05:00,2025-07-24 09:30:00-05:00,2025-07-24 09:30:00-05:00,1,72.0,75.22,87.1
149,2025-07-24,7,2025-07-24 09:30:00-05:00,2025-07-24 10:00:00-05:00,2025-07-24 10:00:00-05:00,1,120.0,68.9,79.9
149,2025-07-24,8,2025-07-24 10:00:00-05:00,2025-07-24 10:30:00-05:00,2025-07-24 10:30:00-05:00,3,564.0,82.63,84.6
149,2025-07-24,9,2025-07-24 10:30:00-05:00,2025-07-24 11:00:00-05:00,2025-07-24 11:00:00-05:00,3,299.0,87.58,93.3
149,2025-07-24,10,2025-07-24 11:00:00-05:00,2025-07-24 11:30:00-05:00,2025-07-24 11:30:00-05:00,1,40.0,58.27,92.8
