,day,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2025-07-21,78,31,2.516,30.0,1598.9,2637.9,0.0,546.0079556398352,Histórico
1,2025-07-22,96,28,3.429,43.3,1791.8,3200.4,0.0,637.3825571422113,Histórico
2,2025-07-23,87,27,3.222,36.3,1393.9,2566.0,0.0,610.2462713864303,Histórico
3,2025-07-24,95,30,3.167,37.3,1789.7,3233.4,0.0,681.7949115632829,Histórico
4,2025-07-25,87,31,2.806,32.2,1373.4,2582.5,0.0,609.7979566670559,Histórico
5,2025-07-26,32,16,2.0,23.2,683.0,1170.0,0.0,198.7755864797307,Histórico
6,2025-07-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Histórico
0,2025-07-21,80,27,2.963,35.3,1661.2,2309.2,0.0,389.6627517488881,Offline
1,2025-07-22,96,24,4.0,50.5,1795.0,2412.4,0.0,440.9654308189866,Offline
2,2025-07-23,88,22,4.0,45.0,1345.7,2079.3,0.0,371.13162111372327,Offline
3,2025-07-24,95,27,3.519,41.5,1841.6,2758.5,0.0,511.95731837461364,Offline
4,2025-07-25,87,28,3.107,35.7,1460.8,2177.1,0.0,398.24424285132085,Offline
5,2025-07-26,32,15,2.133,24.9,633.0,1080.0,0.0,140.18846665448578,Offline
6,2025-07-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Offline
0,2025-07-21,80,28,2.857,33.8,1558.0,2131.2,0.0,490.67519983807716,INSERT
1,2025-07-22,96,26,3.692,46.7,1862.6,2693.6,0.0,629.5638098431717,INSERT
2,2025-07-23,88,24,3.667,41.3,1415.5,2054.6,0.0,407.30378181260073,INSERT
3,2025-07-24,94,30,3.133,37.0,1860.4,2657.7,0.0,634.3378716120228,INSERT
4,2025-07-25,87,28,3.107,35.5,1415.6,2309.7,0.0,518.7322704330034,INSERT
5,2025-07-26,32,15,2.133,25.1,633.0,1080.0,0.0,152.87442026303742,INSERT
6,2025-07-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT
0,2025-07-21,79,26,3.038,36.1,1584.7,2154.7,0.0,369.2946757824185,REACT
1,2025-07-22,95,24,3.958,49.9,1850.1,2668.2,0.0,458.1221654076515,REACT
2,2025-07-23,84,23,3.652,41.2,1420.6,2044.6,0.0,353.63890291369205,REACT
3,2025-07-24,94,27,3.481,41.1,1931.0,2776.8,0.0,524.4606746982471,REACT
4,2025-07-25,84,26,3.231,36.7,1394.1,2292.8,0.0,389.63434623917993,REACT
5,2025-07-26,31,13,2.385,26.2,633.0,1080.0,0.0,135.9295462820177,REACT
6,2025-07-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT
0,2025-07-21,79,24,3.292,39.1,1572.6,2145.9,0.0,364.00092400163703,REACT_BUFFER
1,2025-07-22,95,25,3.8,48.1,1793.0,2595.8,0.0,445.14670213733757,REACT_BUFFER
2,2025-07-23,84,22,3.818,41.2,1366.9,1995.3,0.0,348.19997175168527,REACT_BUFFER
3,2025-07-24,94,28,3.357,39.6,1933.6,2675.8,0.0,502.45231483604243,REACT_BUFFER
4,2025-07-25,85,27,3.148,35.8,1390.3,2215.7,0.0,380.5981382151913,REACT_BUFFER
5,2025-07-26,32,15,2.133,23.6,633.0,1080.0,0.0,134.37650958984398,REACT_BUFFER
6,2025-07-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT_BUFFER
