city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,84,1314.7,430.5,160,27.7
149,2026-11-11,0.3,373,83,1346.4,417.43,373,27.7
149,2026-11-11,0.3,586,83,1346.4,417.43,400,27.7
149,2026-11-11,0.3,800,83,1346.4,417.43,400,27.7
149,2026-11-11,0.3,160,69,326.5,296.86,160,21.6
149,2026-11-11,0.3,373,69,319.8,286.73,373,21.6
149,2026-11-11,0.3,586,69,319.8,286.73,400,21.6
149,2026-11-11,0.3,800,69,319.8,286.73,400,21.6
149,2026-11-11,0.3,160,67,149.3,264.79,160,21.0
149,2026-11-11,0.3,373,67,138.6,259.58,373,21.0
149,2026-11-11,0.3,586,67,138.6,259.58,400,21.0
149,2026-11-11,0.3,800,67,138.6,259.58,400,21.0
149,2026-11-11,0.3,160,64,70.6,254.12,160,20.5
149,2026-11-11,0.3,373,64,70.6,254.12,373,20.5
149,2026-11-11,0.3,586,64,70.6,254.12,400,20.5
149,2026-11-11,0.3,800,64,70.6,254.12,400,20.5
149,2026-11-11,0.3,160,58,60.5,239.36,160,19.5
149,2026-11-11,0.3,373,58,57.6,237.51,373,19.5
149,2026-11-11,0.3,586,58,57.6,228.22,400,19.5
149,2026-11-11,0.3,800,58,57.6,228.22,400,19.5
149,2026-11-11,0.3,160,54,57.6,206.74,160,18.7
149,2026-11-11,0.3,373,54,79.3,204.99,373,18.7
149,2026-11-11,0.3,586,54,79.3,204.99,400,18.7
149,2026-11-11,0.3,800,54,79.3,204.99,400,18.7
149,2026-11-11,0.3,160,51,194.1,171.02,160,17.9
149,2026-11-11,0.3,373,51,194.1,171.02,373,17.9
149,2026-11-11,0.3,586,51,194.1,171.02,400,17.9
149,2026-11-11,0.3,800,51,194.1,171.02,400,17.9
149,2026-11-11,0.3,160,51,224.4,173.36,160,17.7
149,2026-11-11,0.3,373,51,224.4,173.36,373,17.7
149,2026-11-11,0.3,586,51,224.4,173.36,400,17.7
149,2026-11-11,0.3,800,51,224.4,173.36,400,17.7
149,2026-11-11,0.3,160,48,312.3,190.75,160,17.8
149,2026-11-11,0.3,373,48,333.9,185.64,373,17.8
149,2026-11-11,0.3,586,48,333.9,185.64,400,17.8
149,2026-11-11,0.3,800,48,333.9,185.64,400,17.8
149,2026-11-11,0.3,160,46,298.9,181.45,160,16.6
149,2026-11-11,0.3,373,46,329.2,180.57,373,16.6
149,2026-11-11,0.3,586,46,329.2,180.57,400,16.6
149,2026-11-11,0.3,800,46,329.2,180.57,400,16.6
149,2026-11-11,0.3,160,52,578.9,214.27,160,18.0
149,2026-11-11,0.3,373,52,573.1,204.53,373,18.0
149,2026-11-11,0.3,586,52,573.1,204.53,400,18.0
149,2026-11-11,0.3,800,52,573.1,204.53,400,18.0
149,2026-11-11,0.3,160,52,615.1,209.12,160,18.0
149,2026-11-11,0.3,373,52,615.1,209.12,373,18.0
