city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-11-11,0.3,160,8,32.4,21.83,160,10.9
149,2026-11-11,0.3,373,8,32.4,20.69,373,10.9
149,2026-11-11,0.3,586,8,32.4,20.69,400,10.9
149,2026-11-11,0.3,800,8,32.4,20.69,400,10.9
149,2026-11-11,0.3,160,103,1556.3,437.41,160,28.9
149,2026-11-11,0.3,373,103,1607.6,405.04,373,28.9
149,2026-11-11,0.3,586,103,1607.6,405.04,400,28.9
149,2026-11-11,0.3,800,103,1607.6,405.04,400,28.9
149,2026-11-11,0.3,160,52,32.4,165.85,160,17.7
149,2026-11-11,0.3,373,52,32.4,165.85,373,17.7
149,2026-11-11,0.3,586,52,32.4,165.85,400,17.7
149,2026-11-11,0.3,800,52,32.4,165.85,400,17.7
149,2026-11-11,0.3,160,29,32.4,104.81,160,12.8
149,2026-11-11,0.3,373,29,32.4,104.81,373,12.8
149,2026-11-11,0.3,586,29,32.4,104.81,400,12.8
149,2026-11-11,0.3,800,29,32.4,104.81,400,12.8
149,2026-11-11,0.3,160,26,32.4,87.78,160,12.3
149,2026-11-11,0.3,373,26,32.4,86.13,373,12.3
149,2026-11-11,0.3,586,26,32.4,86.13,400,12.3
149,2026-11-11,0.3,800,26,32.4,86.13,400,12.3
149,2026-11-11,0.3,160,32,32.4,103.07,160,13.6
149,2026-11-11,0.3,373,32,32.4,100.12,373,13.6
149,2026-11-11,0.3,586,32,32.4,100.12,400,13.6
149,2026-11-11,0.3,800,32,32.4,100.12,400,13.6
149,2026-11-11,0.3,160,76,35.9,298.85,160,22.8
149,2026-11-11,0.3,373,76,32.9,294.99,373,22.8
149,2026-11-11,0.3,586,76,32.9,294.99,400,22.8
149,2026-11-11,0.3,800,76,32.9,294.99,400,22.8
149,2026-11-11,0.3,160,24,62.4,83.12,160,11.7
149,2026-11-11,0.3,373,24,62.4,83.12,373,11.7
149,2026-11-11,0.3,586,24,62.4,82.02,400,11.7
149,2026-11-11,0.3,800,24,62.4,82.02,400,11.7
149,2026-11-11,0.3,160,84,246.6,329.75,160,24.3
149,2026-11-11,0.3,373,84,253.7,314.37,373,24.3
149,2026-11-11,0.3,586,84,253.7,314.37,400,24.3
149,2026-11-11,0.3,800,84,253.7,314.37,400,24.3
149,2026-11-11,0.3,160,74,62.4,282.04,160,22.4
149,2026-11-11,0.3,373,74,62.4,282.04,373,22.4
149,2026-11-11,0.3,586,74,62.4,282.04,400,22.4
149,2026-11-11,0.3,800,74,62.4,282.04,400,22.4
149,2026-11-11,0.3,160,6,81.9,20.89,160,7.0
149,2026-11-11,0.3,373,6,81.9,19.26,373,7.0
149,2026-11-11,0.3,586,6,81.9,19.26,400,7.0
149,2026-11-11,0.3,800,6,81.9,19.26,400,7.0
149,2026-11-11,0.3,160,72,106.6,286.51,160,21.8
149,2026-11-11,0.3,373,72,106.6,273.35,373,21.8
149,2026-11-11,0.3,586,72,106.6,273.35,400,21.8
149,2026-11-11,0.3,800,72,106.6,273.35,400,21.8
149,2026-11-11,0.3,160,66,151.1,260.78,160,20.8
149,2026-11-11,0.3,373,66,147.6,260.0,373,20.8
149,2026-11-11,0.3,586,66,147.6,260.0,400,20.8
149,2026-11-11,0.3,800,66,147.6,260.0,400,20.8
149,2026-11-11,0.3,160,55,106.6,189.93,160,18.7
149,2026-11-11,0.3,373,55,115.0,187.3,373,18.7
149,2026-11-11,0.3,586,55,115.0,187.3,400,18.7
149,2026-11-11,0.3,800,55,115.0,187.3,400,18.7
149,2026-11-11,0.3,160,80,148.8,315.9,160,23.7
