city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s
149,2026-11-11,1,2026-11-11 12:18:57.825000-05:00,2026-11-11 12:18:57.825000-05:00,2026-11-11 12:18:57.825000-05:00,1,294,48.39,22.4
149,2026-11-11,2,2026-11-11 11:02:18.577000-05:00,2026-11-11 11:02:18.577000-05:00,2026-11-11 11:02:18.577000-05:00,1,221,92.92,24.1
149,2026-11-11,3,2026-11-11 08:21:48.730000-05:00,2026-11-11 08:21:48.730000-05:00,2026-11-11 08:21:48.730000-05:00,1,308,221.36,42.4
149,2026-11-11,4,2026-11-11 10:30:49.332000-05:00,2026-11-11 10:30:49.332000-05:00,2026-11-11 10:30:49.332000-05:00,1,53,114.7,28.2
149,2026-11-11,5,2026-11-11 14:41:31.655000-05:00,2026-11-11 14:41:31.655000-05:00,2026-11-11 14:41:31.655000-05:00,1,55,5.04,14.6
149,2026-11-11,6,2026-11-11 11:13:05.228000-05:00,2026-11-11 11:13:05.228000-05:00,2026-11-11 11:13:05.228000-05:00,1,161,90.64,26.6
149,2026-11-11,7,2026-11-11 13:13:48.434000-05:00,2026-11-11 13:13:48.434000-05:00,2026-11-11 13:13:48.434000-05:00,1,106,56.53,21.0
149,2026-11-11,8,2026-11-11 13:21:18.250000-05:00,2026-11-11 13:21:18.250000-05:00,2026-11-11 13:21:18.250000-05:00,1,253,48.95,19.8
149,2026-11-11,9,2026-11-11 08:44:31.978000-05:00,2026-11-11 08:44:31.978000-05:00,2026-11-11 08:44:31.978000-05:00,1,231,194.58,36.4
149,2026-11-11,10,2026-11-11 08:21:04.045000-05:00,2026-11-11 08:21:04.045000-05:00,2026-11-11 08:21:04.045000-05:00,1,57,236.58,45.1
149,2026-11-11,11,2026-11-11 08:38:20.226000-05:00,2026-11-11 08:38:20.226000-05:00,2026-11-11 08:38:20.226000-05:00,1,380,214.44,40.7
149,2026-11-11,12,2026-11-11 09:54:29.806000-05:00,2026-11-11 09:54:29.806000-05:00,2026-11-11 09:54:29.806000-05:00,1,104,155.57,31.6
149,2026-11-11,13,2026-11-11 10:41:48.037000-05:00,2026-11-11 10:41:48.037000-05:00,2026-11-11 10:41:48.037000-05:00,1,305,132.29,30.9
149,2026-11-11,14,2026-11-11 09:09:46.115000-05:00,2026-11-11 09:09:46.115000-05:00,2026-11-11 09:09:46.115000-05:00,1,238,200.6,42.5
149,2026-11-11,15,2026-11-11 10:35:59.596000-05:00,2026-11-11 10:35:59.596000-05:00,2026-11-11 10:35:59.596000-05:00,1,68,134.91,32.4
149,2026-11-11,16,2026-11-11 14:14:21.863000-05:00,2026-11-11 14:14:21.863000-05:00,2026-11-11 14:14:21.863000-05:00,1,109,36.55,20.1
149,2026-11-11,17,2026-11-11 14:44:32.359000-05:00,2026-11-11 14:44:32.359000-05:00,2026-11-11 14:44:32.359000-05:00,1,197,22.71,18.5
149,2026-11-11,18,2026-11-11 06:39:59.232000-05:00,2026-11-11 06:39:59.232000-05:00,2026-11-11 06:39:59.232000-05:00,1,219,390.18,53.3
149,2026-11-11,19,2026-11-11 08:29:46.264000-05:00,2026-11-11 08:29:46.264000-05:00,2026-11-11 08:29:46.264000-05:00,1,23,281.54,44.4
149,2026-11-11,20,2026-11-11 09:39:11.406000-05:00,2026-11-11 09:39:11.406000-05:00,2026-11-11 09:39:11.406000-05:00,1,100,229.51,40.4
149,2026-11-11,21,2026-11-11 10:23:23.731000-05:00,2026-11-11 10:23:23.731000-05:00,2026-11-11 10:23:23.731000-05:00,1,392,197.9,34.1
149,2026-11-11,22,2026-11-11 09:33:49.271000-05:00,2026-11-11 09:33:49.271000-05:00,2026-11-11 09:33:49.271000-05:00,1,374,254.83,39.2
149,2026-11-11,23,2026-11-11 09:43:23.208000-05:00,2026-11-11 09:43:23.208000-05:00,2026-11-11 09:43:23.208000-05:00,1,106,228.97,40.9
149,2026-11-11,24,2026-11-11 11:26:31.489000-05:00,2026-11-11 11:26:31.489000-05:00,2026-11-11 11:26:31.489000-05:00,1,145,138.21,30.6
149,2026-11-11,25,2026-11-11 13:57:02.525000-05:00,2026-11-11 13:57:02.525000-05:00,2026-11-11 13:57:02.525000-05:00,1,388,83.72,23.2
